,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Keywords,Organization Categories
8040,0.0,1.0,0.0,0.0,2015-08-13,MutualOne Bank,False,1.0,False,False,False,True,False,False,False,"['mutualone', 'bank']",Finance
8041,0.0,1.0,0.0,0.0,2015-08-13,Pilgrim Bank,False,5.0,False,False,False,True,False,False,False,"['pilgrim', 'bank']",Finance
8042,0.0,1.0,0.0,0.0,2015-08-14,St. Mary's Credit Union,False,1.0,False,False,False,True,False,False,False,"['union', 'mary', 'credit']",Healthcare
8043,0.0,1.0,0.0,0.0,2015-08-14,University of Connecticut,True,12.0,True,False,False,False,True,False,False,"['connecticut', 'university']",Corporation
8044,0.0,1.0,0.0,0.0,2015-08-14,Savers Bank,False,2.0,False,False,False,True,False,False,False,"['savers', 'bank']",Finance
8045,0.0,1.0,0.0,0.0,2015-08-14,Savers Bank,False,7.0,False,False,False,True,False,False,False,"['savers', 'bank']",Finance
8046,0.0,1.0,0.0,0.0,2015-08-14,Education Management Corp.,True,1.0,True,False,False,False,True,False,False,"['management', 'education', 'corp']",Technology
8047,0.0,1.0,0.0,0.0,2015-08-14,Newton Running,False,3.0,False,False,False,True,True,False,False,"['newton', 'running']",Other
8048,0.0,1.0,0.0,0.0,2015-08-14,Massachusetts General Hospital,True,1.0,True,True,False,False,False,False,False,"['general', 'massachusetts', 'hospital']",Other
8049,0.0,1.0,0.0,0.0,2015-08-17,Charles Schwab,True,1.0,True,True,False,False,False,False,False,"['schwab', 'charles']",Other
8050,0.0,1.0,0.0,0.0,2015-08-17,St. Mary's Credit Union,False,2.0,False,False,False,True,False,False,False,"['union', 'mary', 'credit']",Healthcare
8051,0.0,1.0,0.0,0.0,2015-08-17,The Commonwealth of MA - Dept. of Revenue,True,1.0,True,True,False,False,False,False,False,"['dept', 'commonwealth', 'revenue']",Corporation
8052,0.0,1.0,0.0,0.0,2015-08-17,Quad Gaphics,True,32.0,True,False,False,True,False,False,False,"['quad', 'gaphics']",Other
8053,0.0,1.0,0.0,0.0,2015-08-17,MassDOT,True,2.0,False,True,False,False,False,False,False,['massdot'],Other
8054,0.0,1.0,0.0,0.0,2015-08-17,MassDOT,True,100.0,False,False,True,False,True,False,False,['massdot'],Other
8056,0.0,1.0,0.0,0.0,2015-08-18,Capital One,True,12.0,True,True,False,True,False,False,False,"['one', 'capital']",Technology
8057,0.0,1.0,0.0,0.0,2015-08-18,Milestone Hospitality,True,41.0,False,False,False,True,True,False,False,"['milestone', 'hospitality']",Other
8058,0.0,1.0,0.0,0.0,2015-08-19,St. Mary's Credit Union,False,2.0,False,False,False,True,False,False,False,"['union', 'mary', 'credit']",Healthcare
8060,0.0,1.0,0.0,0.0,2015-08-19,Savers Bank,False,1.0,False,False,False,True,False,False,False,"['savers', 'bank']",Finance
8061,0.0,1.0,0.0,0.0,2015-08-19,Web.com Inc,True,2065.0,False,False,False,True,True,False,False,['inc'],Corporation
8062,0.0,1.0,0.0,0.0,2015-08-19,Vmware Inc,False,2.0,False,False,False,True,True,False,False,"['vmware', 'inc']",Corporation
8063,0.0,1.0,0.0,0.0,2015-08-20,Fidelity Investments,True,1.0,True,False,False,False,True,False,False,"['investments', 'fidelity']",Finance
8064,0.0,0.0,1.0,0.0,2015-08-20,American Express,False,16.0,False,False,False,True,False,False,False,"['express', 'american']",Technology
8065,0.0,1.0,0.0,0.0,2015-08-20,Eagle Bank,False,1.0,False,True,False,True,False,False,False,"['bank', 'eagle']",Finance
8066,0.0,0.0,1.0,0.0,2015-08-21,The Commonwealth of MA -Dept. of Revenue,True,1.0,True,False,False,False,False,False,False,"['commonwealth', 'revenue']",Corporation
8067,0.0,1.0,0.0,0.0,2015-08-21,Salem Five,False,1.0,False,False,False,True,False,False,False,"['five', 'salem']",Finance
8068,0.0,1.0,0.0,0.0,2015-08-21,EverBank,True,1.0,True,True,False,False,False,False,False,['everbank'],Finance
8069,0.0,1.0,0.0,0.0,2015-08-21,Fidelity Investments,True,1.0,True,False,False,False,True,False,False,"['investments', 'fidelity']",Finance
8071,0.0,1.0,0.0,0.0,2015-08-24,Salem Five,False,2.0,False,False,False,True,False,False,False,"['five', 'salem']",Finance
8072,0.0,1.0,0.0,0.0,2015-08-24,Milk Nursingwear,True,30.0,False,False,False,True,False,False,False,"['nursingwear', 'milk']",Other
8073,0.0,1.0,0.0,0.0,2015-08-24,Mutual One Bank,False,1.0,False,False,False,True,False,False,False,"['one', 'mutual', 'bank']",Finance
8074,0.0,1.0,0.0,0.0,2015-08-24,Discover,False,115.0,False,False,False,True,False,False,False,['discover'],Finance
8075,0.0,1.0,0.0,0.0,2015-08-24,Wm. T. Burnett & Co./STX,False,3.0,False,False,False,True,False,False,False,"['wm', 'burnett']",Corporation
8076,0.0,1.0,0.0,0.0,2015-08-25,S&L Hospitality,True,2.0,False,False,False,True,True,False,False,"['l', 'hospitality']",Other
8077,0.0,1.0,0.0,0.0,2015-08-25,American Express,False,1.0,False,False,False,True,False,False,False,"['express', 'american']",Technology
